(1085.200, -1072.700)
(1085.600, -1061.600)
(1086.000, -1050.400)
(1086.400, -1039.200)
(1086.800, -1027.800)
(1087.200, -1016.300)
(1087.500, -1004.500)
(1087.800, -992.600)
(1087.900, -980.500)
(1088.000, -968.300)
(1088.000, -956.000)
(1088.000, -943.600)
(1088.000, -931.000)
(1088.000, -918.400)
(1088.000, -906.000)
(1088.000, -893.700)
(1088.000, -881.500)
(1088.000, -869.100)
(1088.000, -856.800)
(1088.000, -844.500)
(1088.000, -832.300)
(1088.000, -820.200)
(1088.000, -808.300)
(1088.000, -796.400)
(1088.000, -784.600)
(1088.000, -772.700)
(1088.000, -760.800)
(1088.000, -755.000)
(1088.000, -749.125)
(1088.000, -743.286)
(1088.000, -737.500)
(1088.000, -731.600)
(1088.000, -725.750)
(1088.000, -720.000)
(1088.000, -714.000)
(1088.000, -708.000)
